,...1,Name,Wins,WinPercentage,Pace,eFG,TOV,ORB,DRB,FTF,oppeFG,oppTOV,oppORB,oppDRB,oppFTF
1,1,brock,8,0.421052632,1.880699922,0.422885572,0.23103954,0.323450135,0.622386224,0.194029851,0.424636572,0.207688662,0.377613776,0.676549865,0.163733741
2,2,carleton,18,0.947368421,1.805582011,0.435875943,0.204391497,0.383502171,0.742253521,0.21458508,0.351935194,0.229391524,0.257746479,0.616497829,0.169216922
3,3,ryerson,13,0.684210526,1.84736158,0.413285601,0.206844149,0.373879641,0.718492344,0.202863962,0.359527687,0.213176113,0.281507656,0.626120359,0.175081433
4,4,calgary,11,0.55,1.964407204,0.401984127,0.281119412,0.345543346,0.669867947,0.203174603,0.401190476,0.275914166,0.330132053,0.654456654,0.191269841
5,5,victoria,12,0.6,1.873288856,0.442171518,0.211221122,0.315445026,0.68315508,0.214004721,0.431300813,0.231963518,0.31684492,0.684554974,0.229268293
6,6,alberta,17,0.85,1.781942375,0.463235294,0.255924835,0.353576248,0.703355705,0.23183391,0.399911426,0.271573463,0.296644295,0.646423752,0.205491585
7,7,upei,11,0.55,1.94222663,0.393481717,0.20619877,0.237400531,0.687418936,0.207472178,0.386544586,0.244973276,0.312581064,0.762599469,0.199840764
8,8,mcgill,9,0.5625,1.851986449,0.447940503,0.289607607,0.273684211,0.706484642,0.19221968,0.380295567,0.210632393,0.293515358,0.726315789,0.175369458
9,9,unbc,6,0.3,1.916645963,0.41877551,0.249365252,0.326370757,0.678145695,0.253877551,0.457786885,0.244506706,0.321854305,0.673629243,0.250819672
10,10,saskatchewan,15,0.75,1.826288144,0.443488943,0.219452723,0.379551821,0.723214286,0.263718264,0.411764706,0.24442598,0.276785714,0.620448179,0.266544118
11,11,ubc,16,0.8,1.911577388,0.460992908,0.244691869,0.353846154,0.715561224,0.224586288,0.406480722,0.269849039,0.284438776,0.646153846,0.191140279
12,12,acadia,11,0.55,2.021099117,0.429403202,0.214651961,0.317479191,0.704242424,0.230713246,0.426847662,0.241872593,0.295757576,0.682520809,0.192307692
13,13,western,8,0.4,1.882750702,0.436067019,0.276003101,0.278425656,0.683844011,0.176366843,0.44048583,0.226797889,0.316155989,0.721574344,0.157894737
14,14,unb,15,0.75,1.912348128,0.396524487,0.234115007,0.337625179,0.721220527,0.198262243,0.341088674,0.261977999,0.278779473,0.662374821,0.249341528
15,15,trinitywestern,12,0.6,1.90488477,0.448655257,0.242521171,0.327225131,0.66,0.21597392,0.436290323,0.246688829,0.34,0.672774869,0.209677419
16,16,laurier,13,0.65,1.992740926,0.40544518,0.185129022,0.297924298,0.5968523,0.201618837,0.377304965,0.241615264,0.4031477,0.702075702,0.143262411
17,17,ottawa,13,0.684210526,1.803216451,0.396964856,0.210970464,0.343832021,0.708898944,0.119808307,0.384186047,0.256383885,0.291101056,0.656167979,0.189767442
18,18,lethbridge,5,0.25,1.91847962,0.382520325,0.258263115,0.307311029,0.663588391,0.18699187,0.428793774,0.216870295,0.336411609,0.692688971,0.216342412
19,19,toronto,7,0.368421053,1.880692938,0.376335251,0.241914948,0.366127024,0.63022942,0.188989318,0.422719595,0.254431583,0.36977058,0.633872976,0.196790541
20,20,saintmarys,15,0.75,1.834954106,0.424218123,0.226634577,0.341968912,0.731707317,0.218925421,0.394019349,0.244722739,0.268292683,0.658031088,0.238346526
21,21,waterloo,6,0.3,1.960500626,0.358864697,0.237393998,0.279279279,0.679114799,0.145412131,0.419713831,0.2420639,0.320885201,0.720720721,0.175675676
22,22,dalhousie,3,0.15,1.900124938,0.391339869,0.249913594,0.289111389,0.68627451,0.149509804,0.45276221,0.220530835,0.31372549,0.710888611,0.235388311
23,23,stfx,1,0.05,1.946446,0.3322813,0.3099174,0.2938719,0.6688228,0.1929666,0.3713961,0.2020227,0.3311772,0.7061281,0.254173
24,24,winnipeg,18,0.9,1.904447776,0.448913043,0.182086357,0.355437666,0.697247706,0.175362319,0.429832714,0.302031126,0.302752294,0.644562334,0.267657993
25,25,thompsonrivers,2,0.1,1.897299325,0.391959799,0.291957303,0.317575758,0.62590799,0.17839196,0.44910847,0.224194609,0.37409201,0.682424242,0.168647845
26,26,regina,17,0.85,1.857438842,0.44,0.225485196,0.444186047,0.752116082,0.232592593,0.341161401,0.247604694,0.247883918,0.555813953,0.218616567
27,27,mountroyal,4,0.2,2.149525237,0.389469453,0.295402004,0.248129676,0.636363636,0.193729904,0.411969381,0.249994213,0.363636364,0.751870324,0.203201113
28,28,windsor,16,0.8,1.927621483,0.455290611,0.199420824,0.397202797,0.765395894,0.184053651,0.397746967,0.244081851,0.234604106,0.602797203,0.169844021
29,29,queens,18,0.947368421,1.977795317,0.425261584,0.223788593,0.435105068,0.702597403,0.195814649,0.365434222,0.289192901,0.297402597,0.564894932,0.186586414
30,30,brandon,8,0.4,1.987459647,0.41796875,0.284083767,0.296833773,0.669481303,0.301215278,0.44317315,0.252744796,0.330518697,0.703166227,0.200610221
31,31,manitoba,4,0.2,1.9604,0.386676876,0.241648078,0.312570781,0.608294931,0.186830015,0.434505988,0.233425519,0.391705069,0.687429219,0.249251497
32,32,guelph,5,0.263157895,2.047367035,0.368904876,0.25534549,0.324900133,0.625503356,0.179856115,0.420317221,0.22891659,0.374496644,0.675099867,0.18429003
33,33,algoma,4,0.2,1.965277072,0.392321271,0.277048319,0.247208931,0.686451613,0.180052957,0.400971599,0.19179793,0.313548387,0.752791069,0.189835575
34,34,laurentian,4,0.210526316,1.81455979,0.387846291,0.235202447,0.273103448,0.624251497,0.18588025,0.453806672,0.224609659,0.375748503,0.726896552,0.207869974
35,35,ubcokanagan,4,0.2,1.897367114,0.384615385,0.245780979,0.300353357,0.636594663,0.183980967,0.463276836,0.260783393,0.363405337,0.699646643,0.217110573
36,36,lakehead,8,0.421052632,2.036610261,0.419051205,0.202099181,0.316735823,0.654891304,0.115963855,0.394261006,0.244132934,0.345108696,0.683264177,0.16745283
37,37,ufv,12,0.6,1.868051038,0.427935943,0.258146708,0.284741144,0.661830357,0.259786477,0.380443086,0.225381878,0.338169643,0.715258856,0.185637892
38,38,memorial,11,0.55,1.989695609,0.413008779,0.2175919,0.258156028,0.715258856,0.23782921,0.401315789,0.210597997,0.284741144,0.741843972,0.203560372
39,39,mcmaster,17,0.894736842,1.927203965,0.463467049,0.178101491,0.360153257,0.672153635,0.142550143,0.394491525,0.269506479,0.327846365,0.639846743,0.139830508
40,40,bishops,2,0.125,1.884687794,0.386666667,0.258240674,0.286926995,0.674536256,0.146666667,0.4222333,0.225840159,0.325463744,0.713073005,0.172482552
41,41,laval,14,0.875,1.894504145,0.449657869,0.20899324,0.325044405,0.75313059,0.220918866,0.389468196,0.243718027,0.24686941,0.674955595,0.204379562
42,42,nipissing,1,0.052631579,1.899732692,0.364306785,0.315735579,0.274881517,0.590837283,0.171091445,0.481285598,0.207445772,0.409162717,0.725118483,0.207485761
43,43,capebreton,13,0.65,1.957103825,0.411740891,0.21389632,0.289646134,0.720994475,0.288259109,0.422738191,0.244441041,0.279005525,0.710353866,0.160128102
44,44,uqam,8,0.5,1.914915572,0.389564336,0.251737803,0.34375,0.727969349,0.208713273,0.428884026,0.258595212,0.272030651,0.65625,0.231947484
45,45,macewan,7,0.35,1.900976709,0.397215397,0.280480151,0.318804483,0.65125,0.188370188,0.413807531,0.278751195,0.34875,0.681195517,0.226778243
46,46,concordia,7,0.4375,1.963274199,0.39147671,0.19961191,0.233160622,0.674329502,0.224975223,0.443193449,0.265453166,0.325670498,0.766839378,0.215967247
